REPORT_DATE,OCC_DATE,DIVISION,LOCATION_TYPE,MCI_CATEGORY,HOOD_158,DATE_DIFF
2014-01-01,2014-01-01,D13,"Apartment (Rooming House, Condo)",Assault,092,0
2014-01-01,2013-12-31,D55,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Break and Enter,070,1
2014-01-01,2014-01-01,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Robbery,078,0
2014-01-01,2013-12-31,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",Break and Enter,158,1
2014-01-01,2014-01-01,D14,Bar / Restaurant,Break and Enter,081,0
2014-01-01,2014-01-01,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",Break and Enter,036,0
2014-01-01,2014-01-01,D14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Break and Enter,085,0
2014-01-01,2014-01-01,D54,Bar / Restaurant,Break and Enter,054,0
2014-01-01,2014-01-01,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Break and Enter,170,0
2014-01-01,2014-01-01,D41,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Break and Enter,122,0
2014-01-01,2014-01-01,D32,"Apartment (Rooming House, Condo)",Break and Enter,037,0
2014-01-01,2014-01-01,D43,"Apartment (Rooming House, Condo)",Break and Enter,136,0
2014-01-01,2014-01-01,D12,"Apartment (Rooming House, Condo)",Assault,115,0
2014-01-01,2014-01-01,D53,"Apartment (Rooming House, Condo)",Break and Enter,095,0
2014-01-01,2013-12-30,D33,"Apartment (Rooming House, Condo)",Break and Enter,052,2
2014-01-01,2014-01-01,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",Assault,124,0
2014-01-01,2014-01-01,D43,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Break and Enter,156,0
2014-01-01,2014-01-01,D43,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Theft Over,156,0
2014-01-01,2014-01-01,D12,"Apartment (Rooming House, Condo)",Robbery,113,0
2014-01-01,2014-01-01,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Assault,095,0
2014-01-01,2014-01-01,D51,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Robbery,167,0
2014-01-01,2013-12-31,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",Assault,144,1
2014-01-01,2014-01-01,D12,"Single Home, House (Attach Garage, Cottage, Mobile)",Assault,111,0
2014-01-01,2014-01-01,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Assault,164,0
2014-01-01,2014-01-01,D14,"Apartment (Rooming House, Condo)",Assault,085,0
2014-01-01,2013-12-31,D52,Bar / Restaurant,Assault,164,1
2014-01-01,2013-12-31,D52,Bar / Restaurant,Assault,164,1
2014-01-01,2014-01-01,D14,Ttc Subway Station,Assault,095,0
2014-01-01,2013-12-31,D52,Ttc Subway Train,Assault,170,1
2014-01-01,2014-01-01,D32,"Apartment (Rooming House, Condo)",Assault,037,0
2014-01-01,2014-01-01,D54,"Apartment (Rooming House, Condo)",Assault,061,0
2014-01-01,2014-01-01,D52,"Apartment (Rooming House, Condo)",Assault,078,0
2014-01-01,2014-01-01,D12,"Single Home, House (Attach Garage, Cottage, Mobile)",Assault,113,0
2014-01-01,2014-01-01,D54,Bar / Restaurant,Assault,059,0
2014-01-01,2014-01-01,D53,"Apartment (Rooming House, Condo)",Assault,174,0
2014-01-01,2014-01-01,D22,"Apartment (Rooming House, Condo)",Assault,011,0
2014-01-01,2014-01-01,D42,"Gas Station (Self, Full, Attached Convenience)",Assault,130,0
2014-01-01,2013-12-29,D33,"Apartment (Rooming House, Condo)",Assault,150,3
2014-01-01,2013-12-31,D33,"Apartment (Rooming House, Condo)",Auto Theft,043,1
2014-01-01,2014-01-01,D43,"Streets, Roads, Highways (Bicycle Path, Private Road)",Auto Theft,123,0
2014-01-01,2014-01-01,D22,"Apartment (Rooming House, Condo)",Assault,160,0
2014-01-01,2013-12-25,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Auto Theft,159,7
2014-01-01,2014-01-01,D54,"Open Areas (Lakes, Parks, Rivers)",Assault,058,0
2014-01-01,2014-01-01,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",Assault,037,0
2014-01-01,2014-01-01,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",Assault,084,0
2014-01-01,2014-01-01,D32,"Apartment (Rooming House, Condo)",Assault,151,0
2014-01-01,2014-01-01,D43,"Parking Lots (Apt., Commercial Or Non-Commercial)",Assault,142,0
2014-01-01,2014-01-01,D41,"Apartment (Rooming House, Condo)",Assault,120,0
2014-01-01,2014-01-01,D14,"Apartment (Rooming House, Condo)",Assault,085,0
2014-01-01,2012-03-01,D41,"Apartment (Rooming House, Condo)",Assault,120,671
2014-01-01,2014-01-01,D31,"Apartment (Rooming House, Condo)",Assault,155,0
2014-01-01,2014-01-01,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",Assault,136,0
2014-01-01,2014-01-01,D32,"Streets, Roads, Highways (Bicycle Path, Private Road)",Assault,105,0
2014-01-01,2014-01-01,D51,"Apartment (Rooming House, Condo)",Assault,074,0
2014-01-01,2014-01-01,D52,Bar / Restaurant,Assault,164,0
2014-01-01,2013-12-31,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",Assault,144,1
2014-01-01,2014-01-01,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",Assault,141,0
2014-01-01,2014-01-01,D22,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Assault,020,0
2014-01-01,2014-01-01,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",Assault,172,0
2014-01-01,2014-01-01,D43,Go Train,Assault,143,0
2014-01-01,2014-01-01,D43,Go Train,Assault,143,0
2014-01-01,2013-12-26,D14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Break and Enter,165,6
2014-01-01,2014-01-01,D53,Bar / Restaurant,Assault,055,0
2014-01-01,2014-01-01,D53,Bar / Restaurant,Assault,055,0
2014-01-01,2014-01-01,D53,Bar / Restaurant,Assault,095,0
2014-01-01,2014-01-01,D14,Bar / Restaurant,Assault,081,0
2014-01-01,2014-01-01,D14,Bar / Restaurant,Assault,081,0
2014-01-01,2014-01-01,D14,"Apartment (Rooming House, Condo)",Assault,080,0
